zip,city,state,county,timezone,lat,lng
00777,Juncos,PR,Juncos,America/Puerto_Rico,18.22357,-65.90881
00778,Gurabo,PR,Gurabo,America/Puerto_Rico,18.26339,-65.97936
00780,Coto Laurel,PR,Ponce,America/Puerto_Rico,18.10416,-66.57175
00782,Comerio,PR,Comerío,America/Puerto_Rico,18.22544,-66.22218
00783,Corozal,PR,Corozal,America/Puerto_Rico,18.3041,-66.32847
00784,Guayama,PR,Guayama,America/Puerto_Rico,18.00544,-66.13392
00786,La Plata,PR,Aibonito,America/Puerto_Rico,18.15536,-66.22992
00791,Humacao,PR,Humacao,America/Puerto_Rico,18.14069,-65.818
00794,Barranquitas,PR,Barranquitas,America/Puerto_Rico,18.20154,-66.30873
00795,Juana Diaz,PR,Juana Díaz,America/Puerto_Rico,18.05932,-66.50178
00801,St Thomas,VI,St. Thomas,America/St_Thomas,18.34856,-64.97502
00802,St Thomas,VI,St. Thomas,America/St_Thomas,18.34225,-64.92657
00820,Christiansted,VI,St. Croix,America/St_Thomas,17.74147,-64.687
00823,Christiansted,VI,St. Croix,America/St_Thomas,17.73281,-64.74653
00824,Christiansted,VI,St. Croix,America/St_Thomas,17.74461,-64.68276
00830,St John,VI,St. John,America/St_Thomas,18.33851,-64.73804
00831,St John,VI,St. John,America/St_Thomas,18.32716,-64.78676
00840,Frederiksted,VI,St. Croix,America/St_Thomas,17.72484,-64.85931
00841,Frederiksted,VI,St. Croix,America/St_Thomas,17.73373,-64.83742
00850,Kingshill,VI,St. Croix,America/St_Thomas,17.72819,-64.7939
00851,Kingshill,VI,St. Croix,America/St_Thomas,17.73267,-64.77158
00901,San Juan,PR,San Juan,America/Puerto_Rico,18.46532,-66.10485
00906,San Juan,PR,San Juan,America/Puerto_Rico,18.46446,-66.09499
00907,San Juan,PR,San Juan,America/Puerto_Rico,18.45313,-66.07778
00909,San Juan,PR,San Juan,America/Puerto_Rico,18.44153,-66.06723
00911,San Juan,PR,San Juan,America/Puerto_Rico,18.45135,-66.05631
00912,San Juan,PR,San Juan,America/Puerto_Rico,18.44534,-66.06018
00913,San Juan,PR,San Juan,America/Puerto_Rico,18.45022,-66.04266
00915,San Juan,PR,San Juan,America/Puerto_Rico,18.43691,-66.04562
00917,San Juan,PR,San Juan,America/Puerto_Rico,18.4214,-66.05005
00918,San Juan,PR,San Juan,America/Puerto_Rico,18.42138,-66.06589
00920,San Juan,PR,San Juan,America/Puerto_Rico,18.41573,-66.08887
00921,San Juan,PR,San Juan,America/Puerto_Rico,18.39225,-66.08854
00923,San Juan,PR,San Juan,America/Puerto_Rico,18.40955,-66.03866
00924,San Juan,PR,San Juan,America/Puerto_Rico,18.39826,-66.01288
00925,San Juan,PR,San Juan,America/Puerto_Rico,18.40033,-66.05053
00926,San Juan,PR,San Juan,America/Puerto_Rico,18.3462,-66.05234
00927,San Juan,PR,San Juan,America/Puerto_Rico,18.38874,-66.07191
00934,Fort Buchanan,PR,Guaynabo,America/Puerto_Rico,18.41138,-66.124
00936,San Juan,PR,San Juan,America/Puerto_Rico,18.39548,-66.07376
00949,Toa Baja,PR,Toa Baja,America/Puerto_Rico,18.43017,-66.20884
00950,Toa Baja,PR,Dorado,America/Puerto_Rico,18.46208,-66.2376
00951,Toa Baja,PR,Toa Baja,America/Puerto_Rico,18.42839,-66.25661
00952,Sabana Seca,PR,Toa Baja,America/Puerto_Rico,18.42748,-66.18207
00953,Toa Alta,PR,Toa Alta,America/Puerto_Rico,18.36312,-66.2475
00956,Bayamon,PR,Bayamón,America/Puerto_Rico,18.32082,-66.17175
00957,Bayamon,PR,Bayamón,America/Puerto_Rico,18.36734,-66.18869
00959,Bayamon,PR,Bayamón,America/Puerto_Rico,18.38482,-66.15585
00960,Bayamon,PR,Bayamón,America/Puerto_Rico,18.41701,-66.14444
00961,Bayamon,PR,Bayamón,America/Puerto_Rico,18.41011,-66.16537
00962,Catano,PR,Cataño,America/Puerto_Rico,18.43903,-66.13928
00965,Guaynabo,PR,Guaynabo,America/Puerto_Rico,18.43385,-66.11486
00966,Guaynabo,PR,Guaynabo,America/Puerto_Rico,18.40226,-66.11758
00968,Guaynabo,PR,Guaynabo,America/Puerto_Rico,18.40611,-66.10124
00969,Guaynabo,PR,Guaynabo,America/Puerto_Rico,18.36751,-66.10852
00971,Guaynabo,PR,Guaynabo,America/Puerto_Rico,18.32131,-66.11811
00976,Trujillo Alto,PR,Trujillo Alto,America/Puerto_Rico,18.33844,-65.99209
00979,Carolina,PR,Carolina,America/Puerto_Rico,18.43651,-66.017
00982,Carolina,PR,Carolina,America/Puerto_Rico,18.40992,-65.9917
00983,Carolina,PR,Carolina,America/Puerto_Rico,18.41804,-65.97631
00985,Carolina,PR,Carolina,America/Puerto_Rico,18.40825,-65.94842
00987,Carolina,PR,Carolina,America/Puerto_Rico,18.33934,-65.94312
01001,Agawam,MA,Hampden,America/New_York,42.06259,-72.62589
01002,Amherst,MA,Hampshire,America/New_York,42.37492,-72.4621
01003,Amherst,MA,Hampshire,America/New_York,42.39192,-72.52479
01005,Barre,MA,Worcester,America/New_York,42.42017,-72.10615
01007,Belchertown,MA,Hampshire,America/New_York,42.27875,-72.40036
01008,Blandford,MA,Hampden,America/New_York,42.18428,-72.95203
01009,Bondsville,MA,Hampden,America/New_York,42.20972,-72.33971
01010,Brimfield,MA,Hampden,America/New_York,42.12863,-72.20624
01011,Chester,MA,Hampden,America/New_York,42.29652,-72.95968
01012,Chesterfield,MA,Hampshire,America/New_York,42.38699,-72.84634
01013,Chicopee,MA,Hampden,America/New_York,42.1595,-72.60825
01020,Chicopee,MA,Hampden,America/New_York,42.17637,-72.56538
01022,Chicopee,MA,Hampden,America/New_York,42.19731,-72.54267
01026,Cummington,MA,Hampshire,America/New_York,42.4633,-72.92024
01027,Easthampton,MA,Hampshire,America/New_York,42.29508,-72.74309
01028,East Longmeadow,MA,Hampden,America/New_York,42.05968,-72.49908
01029,East Otis,MA,Berkshire,America/New_York,42.19632,-73.04836
01030,Feeding Hills,MA,Hampden,America/New_York,42.06886,-72.67998
01031,Gilbertville,MA,Worcester,America/New_York,42.32934,-72.19822
01032,Goshen,MA,Hampshire,America/New_York,42.45031,-72.81299
01033,Granby,MA,Hampshire,America/New_York,42.26081,-72.50363
01034,Granville,MA,Hampden,America/New_York,42.08485,-72.95765
01035,Hadley,MA,Hampshire,America/New_York,42.35564,-72.56921
01036,Hampden,MA,Hampden,America/New_York,42.06369,-72.4159
01037,Hardwick,MA,Worcester,America/New_York,42.37011,-72.19771
01038,Hatfield,MA,Hampshire,America/New_York,42.38548,-72.60701
01039,Haydenville,MA,Hampshire,America/New_York,42.40629,-72.69363
01040,Holyoke,MA,Hampden,America/New_York,42.21256,-72.64107
01050,Huntington,MA,Hampshire,America/New_York,42.28784,-72.86986
01053,Leeds,MA,Hampshire,America/New_York,42.35347,-72.71162
01054,Leverett,MA,Franklin,America/New_York,42.47363,-72.48746
01056,Ludlow,MA,Hampden,America/New_York,42.19211,-72.45804
01057,Monson,MA,Hampden,America/New_York,42.09164,-72.32432
01060,Northampton,MA,Hampshire,America/New_York,42.32229,-72.63128
01062,Florence,MA,Hampshire,America/New_York,42.32188,-72.69278
01063,Northampton,MA,Hampshire,America/New_York,42.31901,-72.63905
01066,North Hatfield,MA,Hampshire,America/New_York,42.40763,-72.6548
01068,Oakham,MA,Worcester,America/New_York,42.35002,-72.04606
01069,Palmer,MA,Hampden,America/New_York,42.18807,-72.30555
01070,Plainfield,MA,Hampshire,America/New_York,42.51853,-72.92391
01071,Russell,MA,Hampden,America/New_York,42.16035,-72.86
01072,Shutesbury,MA,Franklin,America/New_York,42.45737,-72.41841
01073,Southampton,MA,Hampshire,America/New_York,42.23083,-72.73857
01074,South Barre,MA,Worcester,America/New_York,42.38672,-72.09404
01075,South Hadley,MA,Hampshire,America/New_York,42.25674,-72.57923
01077,Southwick,MA,Hampden,America/New_York,42.05437,-72.77851
01079,Thorndike,MA,Hampden,America/New_York,42.19437,-72.33014
01080,Three Rivers,MA,Hampden,America/New_York,42.18206,-72.36564
01081,Wales,MA,Hampden,America/New_York,42.06234,-72.23095
01082,Ware,MA,Hampshire,America/New_York,42.2948,-72.27776
01083,Warren,MA,Worcester,America/New_York,42.20382,-72.19495
01084,West Chesterfield,MA,Hampshire,America/New_York,42.39038,-72.88089
01085,Westfield,MA,Hampden,America/New_York,42.15371,-72.76958
01086,Westfield,MA,Hampden,America/New_York,42.13044,-72.79402
01088,West Hatfield,MA,Hampshire,America/New_York,42.39012,-72.6478
01089,West Springfield,MA,Hampden,America/New_York,42.12534,-72.65027
01092,West Warren,MA,Worcester,America/New_York,42.19972,-72.23727
01093,Whately,MA,Franklin,America/New_York,42.43438,-72.65305
01094,Wheelwright,MA,Worcester,America/New_York,42.35945,-72.13847
01095,Wilbraham,MA,Hampden,America/New_York,42.12764,-72.42993
01096,Williamsburg,MA,Hampshire,America/New_York,42.40418,-72.76819
01097,Woronoco,MA,Hampden,America/New_York,42.17603,-72.8313
01098,Worthington,MA,Hampshire,America/New_York,42.3946,-72.94242
01103,Springfield,MA,Hampden,America/New_York,42.104,-72.5921
01104,Springfield,MA,Hampden,America/New_York,42.13404,-72.56679
01105,Springfield,MA,Hampden,America/New_York,42.09917,-72.57899
01106,Longmeadow,MA,Hampden,America/New_York,42.04791,-72.57176
01107,Springfield,MA,Hampden,America/New_York,42.12129,-72.6055
01108,Springfield,MA,Hampden,America/New_York,42.08055,-72.55983
01109,Springfield,MA,Hampden,America/New_York,42.11837,-72.54875
01118,Springfield,MA,Hampden,America/New_York,42.09476,-72.52533
01119,Springfield,MA,Hampden,America/New_York,42.12455,-72.51122
01128,Springfield,MA,Hampden,America/New_York,42.09488,-72.48814
01129,Springfield,MA,Hampden,America/New_York,42.121,-72.48773
01151,Indian Orchard,MA,Hampden,America/New_York,42.15295,-72.50881
01199,Springfield,MA,Hampden,America/New_York,42.12065,-72.6045
01201,Pittsfield,MA,Berkshire,America/New_York,42.44993,-73.27644
01220,Adams,MA,Berkshire,America/New_York,42.62372,-73.11718
01222,Ashley Falls,MA,Berkshire,America/New_York,42.05899,-73.32081
01223,Becket,MA,Berkshire,America/New_York,42.31176,-73.0994
01224,Berkshire,MA,Berkshire,America/New_York,42.50661,-73.19746
01225,Cheshire,MA,Berkshire,America/New_York,42.56267,-73.15484
01226,Dalton,MA,Berkshire,America/New_York,42.48168,-73.13992
01229,Glendale,MA,Berkshire,America/New_York,42.27796,-73.33212
01230,Great Barrington,MA,Berkshire,America/New_York,42.18475,-73.3437
01235,Hinsdale,MA,Berkshire,America/New_York,42.42975,-73.07241
01236,Housatonic,MA,Berkshire,America/New_York,42.26658,-73.3767
01237,Lanesborough,MA,Berkshire,America/New_York,42.54971,-73.26265
01238,Lee,MA,Berkshire,America/New_York,42.29522,-73.2288
01240,Lenox,MA,Berkshire,America/New_York,42.37208,-73.27645
01242,Lenox Dale,MA,Berkshire,America/New_York,42.33328,-73.24921
01243,Middlefield,MA,Hampshire,America/New_York,42.35146,-73.02323
01244,Mill River,MA,Berkshire,America/New_York,42.11608,-73.2627
01245,Monterey,MA,Berkshire,America/New_York,42.18815,-73.2189
01247,North Adams,MA,Berkshire,America/New_York,42.69547,-73.07997
01253,Otis,MA,Berkshire,America/New_York,42.21187,-73.11616
01254,Richmond,MA,Berkshire,America/New_York,42.37982,-73.36545
01255,Sandisfield,MA,Berkshire,America/New_York,42.10834,-73.1229
01256,Savoy,MA,Berkshire,America/New_York,42.59628,-73.01957
01257,Sheffield,MA,Berkshire,America/New_York,42.09701,-73.36886
01258,South Egremont,MA,Berkshire,America/New_York,42.10257,-73.46176
01259,Southfield,MA,Berkshire,America/New_York,42.07553,-73.23564
01260,South Lee,MA,Berkshire,America/New_York,42.29587,-73.34517
01262,Stockbridge,MA,Berkshire,America/New_York,42.29354,-73.3177
01264,Tyringham,MA,Berkshire,America/New_York,42.23411,-73.19903
01266,West Stockbridge,MA,Berkshire,America/New_York,42.308,-73.38408
01267,Williamstown,MA,Berkshire,America/New_York,42.67197,-73.23904
01270,Windsor,MA,Berkshire,America/New_York,42.51492,-73.04125
01301,Greenfield,MA,Franklin,America/New_York,42.62406,-72.60401
01330,Ashfield,MA,Franklin,America/New_York,42.51377,-72.81395
01331,Athol,MA,Worcester,America/New_York,42.56728,-72.18294
01337,Bernardston,MA,Franklin,America/New_York,42.69503,-72.5771
01338,Buckland,MA,Franklin,America/New_York,42.57358,-72.82134
01339,Charlemont,MA,Franklin,America/New_York,42.60801,-72.89006
01340,Colrain,MA,Franklin,America/New_York,42.6832,-72.71797
01341,Conway,MA,Franklin,America/New_York,42.50447,-72.70514
01342,Deerfield,MA,Franklin,America/New_York,42.54451,-72.60591
01343,Drury,MA,Berkshire,America/New_York,42.65444,-72.98109
01344,Erving,MA,Franklin,America/New_York,42.60777,-72.42883
01346,Heath,MA,Franklin,America/New_York,42.68892,-72.817
01347,Lake Pleasant,MA,Franklin,America/New_York,42.56137,-72.51694
01349,Millers Falls,MA,Franklin,America/New_York,42.57271,-72.48332
01350,Monroe Bridge,MA,Franklin,America/New_York,42.72265,-72.98245
01351,Montague,MA,Franklin,America/New_York,42.54281,-72.51905
01354,Gill,MA,Franklin,America/New_York,42.63366,-72.51108
01355,New Salem,MA,Franklin,America/New_York,42.45289,-72.33044
01360,Northfield,MA,Franklin,America/New_York,42.67575,-72.44594
01364,Orange,MA,Franklin,America/New_York,42.61292,-72.29242
01366,Petersham,MA,Worcester,America/New_York,42.48054,-72.18772
01367,Rowe,MA,Franklin,America/New_York,42.6958,-72.91185
01368,Royalston,MA,Worcester,America/New_York,42.68082,-72.18602
01370,Shelburne Falls,MA,Franklin,America/New_York,42.59655,-72.72864
01373,South Deerfield,MA,Franklin,America/New_York,42.47292,-72.61561
01375,Sunderland,MA,Franklin,America/New_York,42.4651,-72.55461
01376,Turners Falls,MA,Franklin,America/New_York,42.59532,-72.55577
01378,Warwick,MA,Franklin,America/New_York,42.6748,-72.34581
01379,Wendell,MA,Franklin,America/New_York,42.55286,-72.40253
01420,Fitchburg,MA,Worcester,America/New_York,42.58578,-71.81662
01430,Ashburnham,MA,Worcester,America/New_York,42.66019,-71.92369
01431,Ashby,MA,Middlesex,America/New_York,42.67652,-71.82322
01432,Ayer,MA,Middlesex,America/New_York,42.56469,-71.57135
01434,Devens,MA,Worcester,America/New_York,42.53858,-71.6114
01436,Baldwinville,MA,Worcester,America/New_York,42.60546,-72.08846
01438,East Templeton,MA,Worcester,America/New_York,42.5618,-72.0317
01440,Gardner,MA,Worcester,America/New_York,42.58737,-71.98649
01450,Groton,MA,Middlesex,America/New_York,42.61368,-71.56141
01451,Harvard,MA,Worcester,America/New_York,42.50124,-71.57378
01452,Hubbardston,MA,Worcester,America/New_York,42.48379,-72.00514
01453,Leominster,MA,Worcester,America/New_York,42.51864,-71.76138
01460,Littleton,MA,Middlesex,America/New_York,42.53501,-71.4891
01462,Lunenburg,MA,Worcester,America/New_York,42.58968,-71.7199
01463,Pepperell,MA,Middlesex,America/New_York,42.67127,-71.60426
01464,Shirley,MA,Middlesex,America/New_York,42.5733,-71.64836
01467,Still River,MA,Worcester,America/New_York,42.48772,-71.61729
01468,Templeton,MA,Worcester,America/New_York,42.55207,-72.06894
01469,Townsend,MA,Middlesex,America/New_York,42.66673,-71.69396
01473,Westminster,MA,Worcester,America/New_York,42.55122,-71.90266
01474,West Townsend,MA,Middlesex,America/New_York,42.66784,-71.75221
01475,Winchendon,MA,Worcester,America/New_York,42.66667,-72.04899
01501,Auburn,MA,Worcester,America/New_York,42.19721,-71.84534
01503,Berlin,MA,Worcester,America/New_York,42.38378,-71.63551
01504,Blackstone,MA,Worcester,America/New_York,42.0399,-71.53124
01505,Boylston,MA,Worcester,America/New_York,42.35633,-71.72123
01506,Brookfield,MA,Worcester,America/New_York,42.19365,-72.10442
01507,Charlton,MA,Worcester,America/New_York,42.13509,-71.96803
